ASSISTANCE_YEAR,ASSISTANCE_TERM,UNIVERSITY,AGE,COUNTY,NUMBER_OF_STUDENTS
2020,1,Tekirdağ Namık Kemal,20,SULTANGAZİ,19
2019,1,İstanbul Gelişim Üniversitesi,22,FATİH,1
2020,1,Gazi Üniversitesi,20,AVCILAR,1
2020,1,Türk-Alman Üniversitesi,19,BAKIRKÖY,1
2019,1,Kafkas Üniversitesi,19,BEYKOZ,1
2019,1,Beykent Üniversitesi,21,BÜYÜKÇEKMECE,2
2020,1,Giresun Üniversitesi,21,BAŞAKŞEHİR,1
2020,1,Düzce Üniversitesi,23,ÇEKMEKÖY,2
2020,1,Selçuk Üniversitesi,19,SİLİVRİ,1
2019,1,Kastamonu Üniversitesi,25,GAZİOSMANPAŞA,1
2020,1,Necmettin Erbakan Üniversitesi,21,BAĞCILAR,3
2019,1,İstanbul Kültür Üniversitesi,22,BAĞCILAR,1
2019,1,Çukurova Üniversitesi,21,ATAŞEHİR,1
2019,2,Mardin Artuklu Üniversitesi,23,ARNAVUTKÖY,1
2019,1,Çankırı Karatekin Üniversitesi,21,BAŞAKŞEHİR,1
2019,2,İstanbul Ayvansaray Üniversitesi,20,EYÜPSULTAN,1
2019,1,Ordu Üniversitesi,20,ATAŞEHİR,1
2020,1,İstanbul Üniversitesi,21,KAĞITHANE,11
2020,1,Ege Üniversitesi,24,BEYLİKDÜZÜ,1
2020,1,Düzce Üniversitesi,24,SULTANGAZİ,1
2020,1,İstanbul Teknik Üniversitesi,20,ŞİŞLİ,3
2019,1,Yıldız Teknik Üniversitesi,23,AVCILAR,4
2019,2,Marmara Üniversitesi,20,SANCAKTEPE,8
2019,1,Sağlık Bilimleri Üniversitesi,23,PENDİK,2
2020,1,Gebze Teknik Üniversitesi,24,GAZİOSMANPAŞA,1
2020,1,Atatürk Üniversitesi,20,SULTANBEYLİ,6
2020,1,Bolu Abant İzzet Baysal Üniversitesi,19,KAĞITHANE,5
2020,1,İstanbul Üniversitesi,19,EYÜPSULTAN,12
2020,1,Afyon Kocatepe Üniversitesi,23,PENDİK,2
2019,2,Tekirdağ Namık Kemal,19,BEYLİKDÜZÜ,3
2019,2,Afyon Kocatepe Üniversitesi,25,SULTANBEYLİ,1
2020,1,İstinye Üniversitesi,19,KAĞITHANE,2
2019,2,İstanbul Sabahattin Zaim Üniversitesi,24,AVCILAR,1
2020,1,Batman Üniversitesi,21,KAĞITHANE,1
2019,2,İnönü Üniversitesi,21,EYÜPSULTAN,1
2020,1,Anadolu Üniversitesi,19,SULTANGAZİ,3
2020,1,Tekirdağ Namık Kemal,19,PENDİK,8
2019,1,Selçuk Üniversitesi,19,SULTANBEYLİ,1
2019,2,Konya Teknik Üniversitesi,23,MALTEPE,1
2020,1,Sağlık Bilimleri Üniversitesi,19,SULTANGAZİ,8
2020,1,Hitit Üniversitesi,21,PENDİK,1
2019,2,İstanbul Üniversitesi,23,BAĞCILAR,17
2020,1,İstanbul Üniversitesi-Cerrahpaşa,20,BEYKOZ,4
2019,1,Tekirdağ Namık Kemal,19,SİLİVRİ,1
2020,1,Kırklareli Üniversitesi,24,KARTAL,1
2019,1,Kırklareli Üniversitesi,20,BAĞCILAR,7
